LON,LAT,EDO,CLAVE,ESTACION,may-24
-99.583333,24.183333,TAMPS,PVLTP,"Puerto de Valles, Tamps.",32.7
-99.026111,22.843056,TAMPS,RFRTP,"R¡o Fr¡o, Tamps.",0
-98,25.966667,TAMPS,RIBTP,"R¡o Bravo, Tamps.",96.5
-97.991944,23.259444,TAMPS,RSPTP,"Rep£blica Espa¤ola, Tamps.",0
-98.285833,26.079722,TAMPS,RYATP,"S-J-3-42 Reynosa, Tamps.",80.41
-98.883333,26.166667,TAMPS,RYNTP,"S-J-2-9 Reynosa, Tamps.",80.4
-99.093056,23.031389,TAMPS,SBNTP,"Sabinas, Tamps.",0.5
-98.869444,22.784444,TAMPS,SDATP,"Saca de Agua, Tamps.",0
-98.7875,23.085556,TAMPS,SGBTP,"San Gabriel, Tamps.",0
-98.208889,23.762222,TAMPS,SLMTP,"Observatorio de Soto la Marina, Tamps.",0.5
-98.791389,22.943889,TAMPS,SLZTP,"Lic. Emilio Portes Gil, Tamps.",0
-99.274167,24.0225,TAMPS,STETP,"Santa Engracia, Tamps.",63.8
-97.876111,22.238333,TAMPS,TMPTP,"Tampico, Tamps.",0
-98.421944,22.413611,TAMPS,TMSTP,"Tames¡, Tamps.",0
-97.804167,25.906111,TAMPS,VCATP,"Villa C rdenas, Tamps.",68
-98.666389,23.959444,TAMPS,VGRTP,"Vicente Guerrero, Tamps.",27.5
-97.8,25.7,TAMPS,VHMTP,"Valle Hermoso, Tamps.",6
-99.488611,24.303889,TAMPS,VILLAGRAN,"Villagr n, Tamps. SMN*",26.4
-99.551111,24.566667,TAMPS,VSMTP,"Victoria San Marcos, Tamps.",50.4
-98.131389,19.428611,TLAX,APITL,"Apizaco, Tlax.",55.5
-98.563889,19.586111,TLAX,CPPTL,"Calpulalpan, Tlax.",58.7
-97.769722,19.298889,TLAX,CUATL,"Cuapiaxtla, Tlax.",102.5
-97.6475,19.318056,TLAX,ECTTL,"El Carmen Tequexquitla, Tlax.",37.5
-98.044167,19.2975,TLAX,MALINCHEI,"La Malinche 1, Tlax. SMN*",110
-98.246944,19.324722,TLAX,OBSTL,"Observatorio de Tlaxcala, Tlax.",53.1
-98.200556,19.556111,TLAX,SJATL,"San Jos‚ Atlanga, Tlax.",19
-98.243056,19.219444,TLAX,ZACTL,"Zacatelco, Tlax.",52.5
-97.908056,19.200278,TLAX,ZITTL,"Zitlaltepec, Tlax.",113.3
-96.843889,19.695833,VER,ACAVC,"Acatl n, Ver.",4
-96.5875,19.495,VER,ACTVC,"Actopan, Ver.",7.5
-94.144444,18.141667,VER,AGDVC,"Agua Dulce, Ver.",20
-97.68,20.93,VER,ALAVC,"Alamo Temapache, Ver.",0
-97.234722,19.7625,VER,ALTVC,"Altotonga, Ver.",0
-96.736111,19.621667,VER,ALUVC,"Alto Lucero, Ver.",2.6
-95.4375,18.583333,VER,ARCVC,"Angel Rosario Cabada, Ver.",0
-97.236944,19.885833,VER,ARRVC,"Arroyo Colorado, Ver. PC",0
-96.944444,19.588889,VER,BANVC,"Banderilla, Ver.",14
-96.933333,19.483333,VER,BRIVC,"Briones, Ver.",0.11
-96.971667,19.948889,VER,BUVVC,"Buena Vista Protecci¢n Civil, Ver.",0.2
-94.253889,17.954444,VER,CB2VC,"Planta de bombeo 2 de La Cangrejera, Ver.",5
-95.8,18.3,VER,CCLVC,"Chacaltianguis, Ver.",0
-96.697778,19.433056,VER,CEGVC,"Cerro Gordo, Ver.",0
-96.9025,20.172778,VER,CEPVC,"Pital Protecci¢n Civil, Ver",0
-96.853611,18.563333,VER,CHMVC,"Chicomapa, Ver.",45.7
-98.155833,21.7375,VER,CHYVC,"Paso de Piedras, Ver.",0
-97.470556,20.253056,VER,CIRVC,"El Ciruelo, Ver. PC",0
-97.878611,21.334444,VER,CITLALTEPEC,"Citlaltepec, Ver. SMN*",0
-97.545,21.068333,VER,CLHVC,"Chalahuite, Ver.",0.3
-96.939444,19.453889,VER,COAVC,"Coatepec, Ver.",0
-97.470833,20.252778,VER,COMVC,"Comalteco, Ver. PC",0
-94.4,18.1,VER,COTVC,"Observatorio de Coatzacoalcos, Ver.",7.1
-96.374444,19.364722,VER,CRDVC,"Cardel, Ver.",0
-95.295833,18.144444,VER,CTTVC,"Cuatotolapan, Ver.",0
-96.666389,19.361667,VER,CUMVC,"La Cumbre, Ver.",0.01
-95.970833,19.040833,VER,ELSALADOmar,"El Salado, Ver. SEMAR*",9.14
-96.36,19.405833,VER,ENRVC,"El Naranjillo, Ver.",0
-96.158333,19.068889,VER,ETEVC,"El Tejar, Ver.",0.01
-96.9975,18.897778,VER,FORVC,"Fort¡n, Ver.",3.2
-95.556944,18.270556,VER,GARVC,"Garro, Ver.",0
-98.459167,21.773611,VER,HGOVC,"El Higo, Ver.",0
-98.2875,21.194444,VER,HLSVC,"Los Hules, Ver.",0
-96.950833,19.181667,VER,HTSVC,"Huatusco, Ver.",0.4
-98.483333,20.533333,VER,HUYVC,"Huayacocotla, Ver.",4.1
-96.554167,19.404167,VER,IDOVC,"Idolos, Ver.",0
-97.2175,21.471667,VER,ISLALOBOSmar,"Isla Lobos, Ver. SEMAR*",0
-94.666667,17.95,VER,JALVC,"Jaltip n, Ver.",5
-95.033333,17.433333,VER,JCRVC,"Jes£s Carranza, Ver.",2
-94.088889,17.873611,VER,JDCVC,"San Jos‚ del Carmen, Ver.",5
-97.021111,19.603611,VER,JOYVC,"La Joya, Ver.",58.03
-95.35,18.25,VER,LAUVC,"Lauchapan, Ver.",3.7
-94.330833,18.109444,VER,LCAVC,"La Cangrejera, Ver.",1.5
-95.118333,18.415833,VER,LDCVC,"Canseco, Ver.",6
-97.231944,18.922778,VER,LGRVC,"Loma Grande, Ver.",1
-97.236944,18.925278,VER,LOMAGRANDE,"Loma Grande, Ver. SMN*",21.2
-94.916667,17.416667,VER,LPEVC,"Las Perlas, Ver.",0
-97.1,19.65,VER,LVRVC,"Las Vigas de Ram¡rez, Ver.",0
-97.048333,20.0675,VER,MDTVC,"Mart¡nez de la Torre, Ver.",0.8
-96.333333,19.15,VER,MFAVC,"Manlio Fabio Altamirano, Ver.",0
-98.045,20.8325,VER,MILVC,"Milcahual, Ver.",4
-94.771111,18.135278,VER,MNZVC,"Minzapan, Ver.",2.2
-97.097778,20.421944,VER,MRRVC,"El Morro, Ver. PC",0.3
-96.833333,19.933333,VER,MZNVC,"Misantla, Ver.",0
-96.873611,19.650556,VER,NACVC,"Naolinco AC, Ver.",2.9
-96.872222,19.65,VER,NAOVC,"Naolinco, Ver.",3.7
-98.503889,21.832222,VER,OLVVC,"El Olivo, Ver.",0
-97.1,18.85,VER,ORZVC,"Observatorio de Orizaba, Ver.",11.92
-96.97,19.55,VER,OTIVC,"Otilpan, Ver.",3.2
-96.918056,19.48,VER,PAVVC,"Pacho Viejo, Ver.",0
-94.3775,18.103611,VER,PB3VC,"Planta de bombeo 3 de La Cangrejera, Ver.",0.5
-97.814444,21.184444,VER,PEMVC,"El Moralillo, Ver.",0
-97.268333,19.545,VER,PEROTESMN,"Perote, Ver. SMN*",1.02
-96.979722,19.588611,VER,PILVC,"Piletas, Ver.",22.8
-98.176667,22.06,VER,PNCVC,"P nuco, Ver.",0
-97.475,20.543333,VER,POZARICA,"Poza Rica, Ver. SGT*",1.5
-97.316667,20.45,VER,PPNVC,"Papantla, Ver.",0
-97.478333,20.540833,VER,PRCVC,"Poza Rica, Ver.",0
-98.356667,21.297778,VER,PSNVC,"Plat¢n S nchez, Ver.",0
-96.665,19.043333,VER,PTE4CAMINOS,"Puente Cuatro Caminos, Ver. SGT*",8.2
-96.795278,18.888056,VER,PTNVC,"Potrero Nuevo, Ver.",7.01
-97.710556,20.274444,VER,PZAVC,"Progreso de Zaragoza, Ver. PC",0
-97.809722,20.887222,VER,SBTVC,"Sombrerete, Ver.",0
-96.921389,19.578611,VER,SEDVC,"Sede¤o, Ver.",7.5
-95.183333,18.45,VER,SIHVC,"Sihuap n, Ver.",0
-95.133333,17.883333,VER,SJEVC,"San Juan Evangelista, Ver.",0.81
-97.293056,19.696944,VER,SNTVC,"Santa Ana, Ver. PC",0.25
-95.033333,18.516667,VER,SONVC,"Sontecomapan, Ver.",15
-95.212778,18.450833,VER,STXVC,"San Andr‚s Tuxtla AC, Ver.",13
-96.488889,19.338889,VER,TAMVC,"Tamarindo, Ver.",0
-96.966667,19.45,VER,TAPVC,"Tapachapan, Ver.",9.7
-97.125278,18.579722,VER,TLQVC,"Tlaquilpa, Ver.",5.93
-94.163333,17.571944,VER,TMOVC,"Tierra Morada, Ver.",60
-98.409444,21.499722,VER,TMPVC,"Tempoal, Ver.",0
-96.916667,19.811111,VER,TNCVC,"Tenochtitl n, Ver.",15.6
-97.2225,19.921944,VER,TOMVC,"Tomata, Ver.",34.5
-96.950278,19.233611,VER,TOTVC,"Totutla, Ver.",2.7
-98.153056,21.039722,VER,TRRVC,"Terrerillos, Ver.",0
-94.930556,18.375833,VER,TUXTLASII,"Los Tuxtlas 2, Ver. SMN*",0
-95.416667,18.466667,VER,TZAVC,"Tres Zapotes, Ver.",0
-97.254167,20.573611,VER,VEDVC,"Poza Verde, Ver. PC",0
-96.111111,19.154167,VER,VERVC,"Observatorio de Veracruz, Ver.",0
-96.613889,19.022222,VER,VTEVC,"Villa Tejeda, Ver.",37
-96.929167,19.511944,VER,XBSVC,"Xalapa Base PC, Ver.",0
-96.85,19.55,VER,XCFVC,"Xalapa CFE, Ver.",0.01
-96.916111,19.536944,VER,XCNVC,"Xalapa Constituyentes PC, Ver.",0
-96.903889,19.542222,VER,XCRVC,"Xalapa Cristal, Ver.",0.1
-96.901111,19.534722,VER,XDAVC,"Xalapa Dos de Abril, Ver.",0.01
-96.935278,19.529167,VER,XIMVC,"Xalapa IMAC PC, Ver.",0
-96.935556,19.547222,VER,XMGVC,"Xalapa Magisterial, Ver.",6.71
-96.898056,19.556667,VER,XMNVC,"Xalapa Minas PC, Ver.",2
-96.916667,19.533333,VER,XOBVC,"Observatorio de Xalapa, Ver.",0
-96.871667,19.511667,VER,XOLVC,Xalapa Olmos,0
-96.923889,19.527222,VER,XPMVC,"Xalapa Palacio PC, Ver.",0
-96.915556,19.565833,VER,XREVC,"Xalapa Revoluci¢n, Ver.",0
-96.929444,19.563333,VER,XSPVC,"Xalapa Sefiplan PC, Ver.",6.6
-96.894444,19.555833,VER,XSUVC,"Xalapa Sumidero, Ver.",1
-96.777778,19.863889,VER,YECVC,"Yecuatla, Ver.",0
-97.388889,19.413889,VER,ZALVC,"Zalayeta, Ver.",19.5
-97.257778,20.596667,VER,ZARVC,"Carrizal, Ver. PC",0
-89.681111,20.649444,YUC,ABAYC,"Abal , Yuc.",0
-89.218889,19.883056,YUC,BECYC,"Becanch‚n, Yuc.",0
-89.081667,20.463056,YUC,CANYC,"Cantamayec, Yuc.",0
-90.3825,20.858056,YUC,CELYC,"Celest£n, Yuc. SMN*",0
-89.829444,20.752778,YUC,CHOYC,"Chochol , Yuc.",0.6
-89.637778,21.030278,YUC,CICYC,"Centro de Investigaci¢n Cient¡fica, Yuc.",2.6
-89.501111,21.078889,YUC,CONYC,"Conkal, Yuc.",0
-89.642778,21.048889,YUC,FIYYC,"Facultad de Ingenier¡a Universidad Aut¢noma de Yucat n, Yuc.",0
-89.658056,20.984167,YUC,GARYC,"Organismo de Cuenca Pen¡nsula de Yucat n, Yuc.",1.8
-89.651111,20.946389,YUC,MEOYC,"Observatorio de M‚rida, Yuc.",1.6
-89.4375,21.105556,YUC,MOCYC,"Mococh , Yuc.",0
-89.299444,21.102222,YUC,MTOYC,"Motul, Yuc.",0
-89.711667,20.493333,YUC,MUNYC,"Muna, Yuc.",0
-89.394722,20.290556,YUC,OXKYC,"Oxkutzcab, Yuc.",15.5
-88.930833,20.1325,YUC,PETYC,"Peto, Yuc.",0
-89.653889,21.275833,YUC,PROYC,"Observatorio de Progreso, Yuc.",1.6
-89.558056,20.397778,YUC,TICYC,"Ticul, Yuc.",0
-88.1725,21.158611,YUC,TIZYC,"Tizim¡n, Yuc.",1.6
-88.204167,20.69,YUC,VALYC,"Observatorio de Valladolid, Yuc.",0
-103.459167,21.811389,ZAC,ATGZC,"Atolinga, Zac.",0.01
-102.896111,21.997222,ZAC,CHIZC,"El Chique, Zac.",0
-101.389444,24.621389,ZAC,CORZC,"Concepci¢n del Oro, Zac.",0
-103.098333,23.693333,ZAC,ELCZC,"El Cazadero, Zac.",0
-102.040833,22.673056,ZAC,ELSZC,"El Saladillo, Zac.",5.52
-103.35,21.645833,ZAC,EXCZC,"Miguel Alem n, Zac.",2.9
-102.506667,22.745556,ZAC,GPEZC,"Guadalupe, Zac.",0
-103.397778,24.281667,ZAC,JALZC,"Juan Aldama, Zac.",6
-102.566944,22.778889,ZAC,LBUZC,"Observatorio de Zacatecas, Zac.",0
-102.660556,22.996944,ZAC,LLBZC,"Llano Blanco, Zac.",0.01
-103.382778,22.845278,ZAC,LOBZC,"Manuel Felgueres, Zac.",5.3
-101.985556,22.264722,ZAC,LORZC,"Loreto, Zac.",0
-103.216944,23.18,ZAC,LREZC,"Gobernador Leobardo Reynoso, Zac.",0.01
-103.443056,24.2875,ZAC,MGAZC,"Miguel Auza, Zac.",0
-102.845556,21.3575,ZAC,NCTZC,"Nochistl n, Zac.",23.8
-102.798056,22.347778,ZAC,PALZC,"Palomas, Zac.",2
-101.399167,22.117778,ZAC,PINZC,"Pino Su rez, Zac.",8.9
-102.903611,21.711111,ZAC,PMOZC,"Los Morale¤os, Zac.",0
-103.025833,23.816944,ZAC,RGRZC,"R¡o Grande, Zac.",0
-102.8825,24.326111,ZAC,SFOZC,"San Francisco, Zac.",0.73
-103.506111,24.288611,ZAC,SGOZC,"Santiago, Zac.",0.01
-103.636389,23.638889,ZAC,SOMZC,"Observatorio de Sombrerete, Zac.",0.8
-103.495833,22.326667,ZAC,STEZC,"Independencia Nacional, Zac.",0.01
-103.108889,22.923611,ZAC,STRZC,"Santa Rosa, Zac.",0.02
-102.864167,22.120556,ZAC,TAYZC,"Ing. Juli n Adame Alatorre, Zac.",3.11
-103.88,23.471944,ZAC,TCHZC,"Chalchihuites, Zac.",3
-103.309444,21.773611,ZAC,TLLZC,"Tlaltenango, Zac.",8.52
-101.715833,22.347222,ZAC,VHGZC,"Villa Hidalgo, Zac.",0.01
-103.3375,21.588889,ZAC,VILZC,"Jos‚ Mar¡a Morelos, Zac.",24.51
-102.506111,22.746667,ZAC,ZA2ZC,"Zacatecas, Zac. SMN*",0
-102.585556,22.765,ZAC,ZACZC,"Zacatecas, Zac.",1.5
